iteration,image,frozen,U,field_term,pv,H,px,py,pz,Px,Py,Pz
1,48,0,-3.1364588000602089e+05,-2.9375372206543648e+00,0.0000000000000000e+00,-3.1364881754324154e+05,-8.8393208011352812e+01,-6.9991730757322557e+01,5.2818277933348966e+01,-1.9501250200349315e-02,-1.5441528644132103e-02,1.1652733013123993e-02
1,49,0,-3.1364603878042672e+05,-2.7115129230081672e+00,0.0000000000000000e+00,-3.1364875029334973e+05,-8.1591928144332186e+01,-7.0383003011109565e+01,5.5988108019537535e+01,-1.8006625545106920e-02,-1.5532913718122746e-02,1.2356086184204756e-02
1,50,0,-3.1364611001634866e+05,-2.4089176714334437e+00,0.0000000000000000e+00,-3.1364851893402007e+05,-7.2486557554429012e+01,-7.1498533679737022e+01,5.8390367050550836e+01,-1.5999158888265405e-02,-1.5781083268593066e-02,1.2887862129256536e-02
2,0,0,-3.1364615200129757e+05,2.4296512282942339e-02,0.0000000000000000e+00,-3.1364612770478526e+05,7.3110449429406776e-01,-3.1186191008930653e-01,1.9536548752085992e-06,1.6134709725811448e-04,-6.8824654110307765e-05,4.3115114955412066e-10
2,1,0,-3.1364609901978326e+05,-2.8489053665181702e-01,0.0000000000000000e+00,-3.1364638391031988e+05,-8.5726193662051280e+00,1.8350450714007245e+00,-3.5779385945788889e-04,-1.8919821235763700e-03,4.0499552385748816e-04,-7.8965314695802845e-08
2,2,0,-3.1364596747020353e+05,-5.7042748770651031e-01,0.0000000000000000e+00,-3.1364653789769125e+05,-1.7164689938806291e+01,4.3543794786656322e+00,-8.9834146706646578e-04,-3.7885057807385868e-03,9.6107718142687685e-04,-1.9827750184779476e-07
2,3,0,-3.1364585140664061e+05,-7.6480292671911787e-01,0.0000000000000000e+00,-3.1364661620956735e+05,-2.3013626419383751e+01,7.1430128145840950e+00,-1.6971879330940354e-03,-5.0798810415657227e-03,1.5767030677922337e-03,-3.7462643427794756e-07
2,4,0,-3.1364573140006379e+05,-9.2456254722394937e-01,0.0000000000000000e+00,-3.1364665596261102e+05,-2.7820940950687842e+01,9.6016526871393495e+00,2.5648812834204726e-03,-6.1414782070172468e-03,2.1195667261554997e-03,5.6619804965021520e-07
2,5,0,-3.1364559350234899e+05,-1.0770533390880581e+00,0.0000000000000000e+00,-3.1364667055568809e+05,-3.2409529714869514e+01,1.2055486313625964e+01,1.1370749700958527e-03,-7.1549694386577184e-03,2.6614590492677090e-03,2.5102914889770164e-07
2,6,0,-3.1364560318499641e+05,-1.0639632452817904e+00,0.0000000000000000e+00,-3.1364666714824172e+05,-3.2015636702529129e+01,1.1829893857901812e+01,-1.7601475924132032e-01,-7.0683473910977315e-03,2.6117799925202741e-03,-3.8860181849196187e-05
2,7,0,-3.1364560402502667e+05,-1.0556906280093823e+00,0.0000000000000000e+00,-3.1364665971565468e+05,-3.1766706008403187e+01,1.1563164579917814e+01,-3.7057586313365132e-01,-7.0141821946873338e-03,2.5531807764155316e-03,-8.1824241401842643e-05
