iteration,image,frozen,update_rate,U,field_term,pv,H,px,py,pz,Px,Py,Pz,k_left,k_right
1,13,0,1.0000000000000000e+00,-3.1364289966063888e+05,-5.9431841627559101e-01,0.0000000000000000e+00,-3.1364349397905514e+05,-3.5767313997831344e+01,-3.5842232220146578e+01,2.9195499170288286e+01,-7.8939980753618428e-03,-7.9105328451463969e-03,6.4435706375227924e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,14,0,1.0000000000000000e+00,-3.1364294687407726e+05,-6.4112168264597336e-01,0.0000000000000000e+00,-3.1364358799575991e+05,-3.8584031251375386e+01,-3.8580553711729479e+01,3.1441280581303875e+01,-8.5157032546465221e-03,-8.5149357429397266e-03,6.9392597583208659e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,15,0,1.0000000000000000e+00,-3.1364306745637860e+05,-6.8794666078599953e-01,0.0000000000000000e+00,-3.1364375540303939e+05,-4.1402055162105519e+01,-4.1319620358043068e+01,3.3687058268435649e+01,-9.1377032055604008e-03,-9.1195093074463614e-03,7.4349531471357517e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,16,0,1.0000000000000000e+00,-3.1364325668836833e+05,-7.3479335069567386e-01,0.0000000000000000e+00,-3.1364399148171901e+05,-4.4221385730022007e+01,-4.4059432159087713e+01,3.5932832231683506e+01,-9.7599979326317577e-03,-9.7242535412833883e-03,7.9306508040235552e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,17,0,1.0000000000000000e+00,-3.1364350731558679e+05,-7.8166175237499269e-01,0.0000000000000000e+00,-3.1364428897733917e+05,-4.7042022955124636e+01,-4.6799989114863351e+01,3.8178602471047618e+01,-1.0382587440388790e-02,-1.0329168447067796e-02,8.4263527290403956e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,18,0,1.0000000000000000e+00,-3.1364380959905620e+05,-8.2855186582395979e-01,0.0000000000000000e+00,-3.1364463815092202e+05,-4.9863966837413614e+01,-4.9541291225369974e+01,4.0424368986527838e+01,-1.1005471733359933e-02,-1.0934254027416684e-02,8.9220589222423763e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,19,0,1.0000000000000000e+00,-3.1364415135630738e+05,-8.7546369104257227e-01,0.0000000000000000e+00,-3.1364502681999840e+05,-5.2687217376888796e+01,-5.2283338490607591e+01,4.2670131778124315e+01,-1.1628650816073598e-02,-1.1539510284947182e-02,9.4177693836856383e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,20,0,1.0000000000000000e+00,-3.1364451798487402e+05,-9.2239722803082957e-01,0.0000000000000000e+00,-3.1364544038210204e+05,-5.5511774573550127e+01,-5.5026130910576065e+01,4.4915890845836785e+01,-1.2252124693058248e-02,-1.2144937222276385e-02,9.9134841134262009e-03,1.3500000000000000e+02,1.3500000000000000e+02
1,21,0,1.0000000000000000e+00,-3.1364489246210142e+05,-9.6935247678873360e-01,0.0000000000000000e+00,-3.1364586181457818e+05,-5.8337638427397721e+01,-5.7769668485275737e+01,4.7161646189665511e+01,-1.2875893368842572e-02,-1.2750534842021646e-02,1.0409203111520285e-02,1.3500000000000000e+02,1.3500000000000000e+02
1,22,0,1.0000000000000000e+00,-3.1364525531339226e+05,-1.0163294373162839e+00,0.0000000000000000e+00,-3.1364627164282958e+05,-6.1164808938431563e+01,-6.0513951214706147e+01,4.9407397809610288e+01,-1.3499956847955184e-02,-1.3356303146800063e-02,1.0904926378023899e-02,1.3500000000000000e+02,1.3500000000000000e+02
1,23,0,1.0000000000000000e+00,-3.1364558454215457e+05,-1.0633281096134823e+00,0.0000000000000000e+00,-3.1364664787026419e+05,-6.3993286106651752e+01,-6.3258979098867719e+01,5.1653145705671449e+01,-1.4124315134924934e-02,-1.3962242139229104e-02,1.1400653912993285e-02,1.3500000000000000e+02,1.3500000000000000e+02
